City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,bonthe,7.5264,-12.505,27.74,79,62,2.2,SL,1681846872
284,horezu,45.15,24.0167,7.73,92,100,0.46,RO,1681847044
285,souillac,-20.5167,57.5167,26.21,89,40,5.66,MU,1681847024
286,jizzax,40.1158,67.8422,6.63,43,1,0.67,UZ,1681847045
287,ati,13.2154,18.3353,31.96,16,35,0.57,TD,1681847046
288,karoi,-16.8099,29.6925,17.43,75,69,3.32,ZW,1681847046
289,fort bragg,35.139,-79.006,26.08,23,0,6.17,US,1681846922
290,dudinka,69.4058,86.1778,-19.1,95,5,2.58,RU,1681847047
291,mana,5.6592,-53.7767,26.76,74,100,3.13,GF,1681847047
292,zhob,31.3411,69.4481,18.64,40,93,2.93,PK,1681847047
293,quelimane,-17.8786,36.8883,20.96,81,0,1.23,MZ,1681847023
294,al bardiyah,31.7561,25.0865,16.5,74,84,4.13,LY,1681847048
295,kapuskasing,49.4169,-82.4331,-4.95,80,100,15.43,CA,1681847048
296,abong mbang,3.9833,13.1833,21.72,86,36,0.31,CM,1681847049
297,sorong,-0.8833,131.25,25.74,85,100,1.73,ID,1681847049
298,taoudenni,22.6783,-3.9836,33.41,14,63,3.64,ML,1681847050
299,el nido,11.1858,119.3956,27.89,79,71,3.93,PH,1681847050
300,oppdal,62.5943,9.6912,3.85,60,78,0.88,NO,1681847050
301,smithers,54.7804,-127.1743,8.18,39,40,3.09,CA,1681847050
302,mezapa,15.5833,-87.65,32.22,49,49,4.07,HN,1681847051
303,orda,57.1951,56.9091,3.49,68,77,5.46,RU,1681847051
304,motygino,58.1831,94.7592,-14.18,97,100,1.86,RU,1681847051
305,tejen,37.3834,60.5054,11.85,18,7,3.55,TM,1681847051
306,ujae,8.9322,165.7642,27.2,80,100,9.17,MH,1681847051
307,grand falls-windsor,48.9332,-55.6649,10.28,35,100,2.68,CA,1681846880
308,san patricio,28.017,-97.5169,27.92,78,76,9.74,US,1681846943
